id,name,slug,release_date,model_creator_id,model_creator_name,elo,category_style_anime_elo,category_style_cartoon_illustration_elo,category_style_general_photorealistic_elo,category_style_graphic_design_digital_rendering_elo,category_style_traditional_art_elo,category_subject_commercial_elo
0c471919-d0d0-4936-9487-a0b199321231,Ideogram v2a Turbo,ideogram-v2a-turbo,2025-02,a8b2ac11-1f36-44cb-9e88-383c4e0d749f,Ideogram,999,927.0,977.0,1030,967,1102.0,1051.0
4801e29a-4294-4fc4-b40f-75b275e8e8ad,Firefly Image 4,firefly-image-4,2025-04,2c7b704c-10d3-41b1-bfcf-f7084676079b,Adobe,993,946.0,963.0,1052,943,1084.0,905.0
9f25d322-c1fd-4da9-9039-9bcfd499f4c3,Gemini 2.0 Flash Preview,gemini-2-0-flash-preview,2025-05,faddc6d9-2c14-445f-9b28-56726f59c793,Google,989,955.0,995.0,993,984,1050.0,1068.0
ba1d4694-1170-4cc1-b19a-3067a8c1341c,Phoenix 1.0 Fast,phoenix-1-0-fast,2024-12,c104be52-31ea-4948-b921-265dc297f3ac,Leonardo.Ai,986,954.0,1063.0,973,973,1055.0,1012.0
19c33a87-2ede-4d18-b2ce-7e5254611622,FLUX.2 [klein] Base 4B,flux_flux-2-klein-base-4b,2026-01,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,978,951.0,977.0,1016,943,1040.0,969.0
93f912f2-35b7-442a-b46a-35e086539184,Recraft 20B,recraft-20b,2024-03,02845eed-a64f-4ddd-af96-8409678c890a,Recraft,974,876.0,965.0,986,970,1061.0,955.0
61ace12c-0fb5-4262-a0b7-80845c84b40d,Luma Photon Flash,luma-photon-flash,2024-12,09468924-69a9-499b-8dd6-d0bb4c05285d,Luma Labs,974,961.0,984.0,982,951,1092.0,914.0
73b72208-7757-43a6-bc0b-1e3bbcee51e0,Runway Gen-4 Image,runway-gen-4-image,2024-11,a6906d95-a471-4a0c-ad10-b989571de20c,Runway,969,910.0,928.0,1000,954,1019.0,1010.0
a77486d0-ef2c-4287-9f07-7f522cc1790b,Playground v2.5,playground-v2-5,2024-02,f04aca25-ae17-42e2-a0b7-0c9734e0adfe,Playground AI,967,955.0,969.0,992,923,1100.0,901.0
94ac854d-f774-47f7-a64d-95d4e3975b13,Lumina Image v2,lumina-image-v2,2025-01,4d7036f2-93b9-4701-a99a-7a80dfcb412c,OpenGVLab,967,1011.0,977.0,1000,891,1090.0,876.0
10f01326-4d02-4dc6-b9df-6f0b68fb7c48,Gemini 2.0 Flash Experimental,gemini-2-0-flash-experimental,2025-03,faddc6d9-2c14-445f-9b28-56726f59c793,Google,958,,976.0,985,910,,
7c6289cf-94e1-4739-8868-af207d3cbbd2,DALLE 3 HD,dalle-3-hd,2023-09,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,948,930.0,1032.0,902,958,1120.0,951.0
4ea3a74e-5e8d-4f8a-b00f-a711dda93131,Stable Diffusion 3.5 Medium,stable-diffusion-3-5-medium,2024-10,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,941,892.0,853.0,957,912,1107.0,913.0
d959db75-771f-4561-ac19-cbc28b0521b3,DALLE 3,dalle-3,2023-09,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,931,901.0,1008.0,895,938,1073.0,921.0
bc20afc1-e7e0-483a-b96b-d7f44cb4a78b,Firefly Image 3,firefly-image-3,2024-04,2c7b704c-10d3-41b1-bfcf-f7084676079b,Adobe,929,904.0,883.0,975,865,1068.0,822.0
27cefc7e-1c92-42cd-a39f-b0c262db3e05,Sana Sprint 1.6B,sana-sprint-1-6b,2025-03,0c303112-430d-4367-a484-51defaa2e166,NVIDIA,925,917.0,892.0,918,923,1105.0,801.0
8d3ecb65-72e8-4da1-903e-20d002c3acb6,Grok 2,grok-2,2024-12,a1e3ddcf-d3e4-44a5-9e8f-029a69850875,xAI,922,,,961,894,,
1189110d-671d-4de9-877c-f9797f161134,Bagel,bagel,2025-05,582174aa-90d5-4a43-9c4d-64dc0af57547,Bytedance,911,907.0,916.0,938,881,953.0,861.0
